1000,2,left,right,foward,backward
0.560000,0.620000,1
0.560000,0.600000,3
0.560000,0.640000,3
0.560000,0.660000,3
0.445000,0.170000,2
0.465000,0.460000,0
0.465000,0.480000,0
0.370000,0.590000,2
0.325000,0.670000,1
0.410000,0.450000,0
0.620000,0.630000,1
0.620000,0.610000,1
0.620000,0.670000,1
0.490000,0.410000,2
0.490000,0.550000,2
0.490000,0.530000,2
0.490000,0.510000,1
0.640000,0.630000,1
0.425000,0.360000,2
0.455000,0.340000,2
0.495000,0.630000,1
0.540000,0.390000,0
0.305000,0.200000,0
0.605000,0.550000,3
0.510000,0.550000,3
0.575000,0.260000,3
0.700000,0.470000,0
0.700000,0.490000,3
0.670000,0.540000,1
0.420000,0.410000,0
0.540000,0.470000,0
0.335000,0.700000,1
0.335000,0.680000,2
0.490000,0.480000,2
0.490000,0.440000,2
0.720000,0.800000,3
0.720000,0.720000,1
0.585000,0.620000,1
0.585000,0.660000,1
0.445000,0.590000,1
0.465000,0.420000,2
0.550000,0.460000,0
0.550000,0.480000,3
0.550000,0.400000,0
0.550000,0.420000,0
0.550000,0.440000,0
0.460000,0.810000,2
0.460000,0.940000,2
0.460000,0.740000,1
0.655000,0.400000,3
0.655000,0.600000,1
0.345000,0.740000,1
0.345000,0.820000,2
0.450000,0.990000,1
0.510000,0.520000,1
0.510000,0.500000,3
0.510000,0.540000,3
0.510000,0.480000,0
0.510000,0.360000,0
0.470000,0.710000,1
0.295000,0.650000,1
0.355000,0.180000,2
0.355000,0.140000,2
0.345000,0.630000,1
0.335000,0.850000,2
0.335000,0.830000,1
0.560000,0.690000,3
0.550000,0.310000,3
0.590000,0.870000,1
0.590000,0.850000,3
0.490000,0.520000,2
0.490000,0.440000,2
0.490000,0.500000,2
0.455000,0.230000,2
0.455000,0.410000,0
0.455000,0.430000,2
0.360000,0.610000,1
0.580000,0.350000,3
0.550000,0.810000,3
0.330000,0.310000,0
0.330000,0.370000,0
0.330000,0.390000,0
0.435000,0.190000,2
0.440000,0.130000,0
0.560000,0.660000,1
0.560000,0.640000,3
0.505000,0.480000,0
0.540000,0.060000,0
0.540000,0.080000,3
0.540000,0.120000,3
0.580000,0.530000,1
0.580000,0.510000,1
0.580000,0.570000,1
0.580000,0.550000,1
0.465000,0.500000,2
0.560000,0.350000,3
0.520000,0.620000,3
0.520000,0.430000,3
0.560000,0.300000,3
0.560000,0.280000,3
0.550000,0.330000,3
0.530000,0.620000,3
0.535000,0.440000,0
0.535000,0.380000,3
0.525000,0.520000,3
0.525000,0.220000,0
0.565000,0.420000,3
0.290000,0.630000,1
0.490000,0.780000,1
0.505000,0.480000,0
0.555000,0.420000,0
0.555000,0.440000,0
0.530000,0.650000,3
0.515000,0.490000,3
0.625000,0.640000,3
0.525000,0.410000,0
0.525000,0.450000,0
0.525000,0.430000,3
0.515000,0.540000,3
0.515000,0.130000,3
0.650000,0.230000,0
0.650000,0.210000,0
0.310000,0.990000,2
0.310000,0.980000,1
0.420000,0.470000,0
0.505000,0.560000,3
0.505000,0.580000,1
0.505000,0.130000,0
0.615000,0.490000,3
0.590000,0.510000,1
0.590000,0.710000,3
0.705000,0.560000,1
0.490000,0.310000,2
0.330000,0.060000,2
0.445000,0.190000,2
0.445000,0.170000,0
0.260000,0.520000,2
0.260000,0.400000,0
0.270000,0.630000,1
0.620000,0.830000,3
0.345000,0.780000,2
0.345000,0.820000,2
0.550000,0.690000,1
0.550000,0.650000,3
0.480000,0.540000,2
0.480000,0.600000,2
0.470000,0.540000,1
0.470000,0.520000,1
0.630000,0.360000,0
0.590000,0.160000,3
0.485000,0.410000,2
0.480000,0.520000,1
0.505000,0.510000,3
0.625000,0.410000,0
0.600000,0.670000,1
0.520000,0.510000,1
0.560000,0.180000,3
0.425000,0.480000,0
0.525000,0.650000,3
0.510000,0.660000,1
0.510000,0.640000,3
0.445000,0.610000,1
0.445000,0.630000,2
0.445000,0.590000,2
0.445000,0.550000,2
